timestamp,namespace,pod,cpu_millicores,mem_bytes
2026-09-16T14:37:33.516494+00:00,kai-scheduler,pod-grouper-65456f756-gxfnl,1.0,11534336
2026-09-16T14:37:33.516494+00:00,kai-scheduler,podgroup-controller-68f9cc8dbf-mq2sk,1.0,11534336
2026-09-16T14:37:33.516494+00:00,kai-scheduler,queue-controller-f86fcd76c-2z76k,1.0,13631488
2026-09-16T14:37:33.516494+00:00,kube-system,coredns-8db54c48d-xwg8k,10.0,23068672
2026-09-16T14:37:33.516494+00:00,kube-system,kwok-controller-5cf8c7c44b-bbjsw,205.0,33554432
2026-09-16T14:37:33.516494+00:00,kube-system,local-path-provisioner-5d9d9885bc-ddln7,1.0,15728640
2026-09-16T14:37:33.516494+00:00,kube-system,metrics-server-75dc6f8d87-k8h7b,27.0,41943040
2026-09-16T14:37:33.516494+00:00,kube-system,svclb-traefik-cf82b3cd-hd56k,0.0,0
2026-09-16T14:37:33.516494+00:00,kube-system,traefik-9bcdbbd9-pdd86,16.0,39845888
2026-09-16T14:37:33.516494+00:00,pyroscope,pyroscope-0,12.0,70254592
2026-09-16T14:37:33.516494+00:00,pyroscope,pyroscope-alloy-0,104.0,116391936
