timestamp,container,cpu_percent,mem_bytes
2026-09-16T14:52:30.027912+00:00,k3d-shared-e2e-test-cluster-server-0,65.95,3461743640
2026-09-16T14:52:36.271002+00:00,k3d-shared-e2e-test-cluster-server-0,188.21,3460669898
2026-09-16T14:52:42.504513+00:00,k3d-shared-e2e-test-cluster-server-0,172.38,3467112349
2026-09-16T14:52:48.740707+00:00,k3d-shared-e2e-test-cluster-server-0,73.03,3459596156
2026-09-16T14:52:54.981145+00:00,k3d-shared-e2e-test-cluster-server-0,60.16,3460669898
2026-09-16T14:53:01.222566+00:00,k3d-shared-e2e-test-cluster-server-0,59.92,3473554800
2026-09-16T14:53:07.465041+00:00,k3d-shared-e2e-test-cluster-server-0,67.55,3471407316
2026-09-16T14:53:13.703819+00:00,k3d-shared-e2e-test-cluster-server-0,67.55,3473554800
2026-09-16T14:53:19.940697+00:00,k3d-shared-e2e-test-cluster-server-0,65.79,3477849767
2026-09-16T14:53:26.181610+00:00,k3d-shared-e2e-test-cluster-server-0,51.55,3474628542
2026-09-16T14:53:32.421934+00:00,k3d-shared-e2e-test-cluster-server-0,179.51,3476776026
2026-09-16T14:53:38.658739+00:00,k3d-shared-e2e-test-cluster-server-0,189.70,3481070993
2026-09-16T14:53:44.893283+00:00,k3d-shared-e2e-test-cluster-server-0,69.20,3485365960
2026-09-16T14:53:51.131703+00:00,k3d-shared-e2e-test-cluster-server-0,65.71,3481070993
2026-09-16T14:53:57.367799+00:00,k3d-shared-e2e-test-cluster-server-0,62.64,3479997251
2026-09-16T14:54:03.604349+00:00,k3d-shared-e2e-test-cluster-server-0,120.73,3491808411
2026-09-16T14:54:09.840783+00:00,k3d-shared-e2e-test-cluster-server-0,111.85,3493955895
2026-09-16T14:54:16.083274+00:00,k3d-shared-e2e-test-cluster-server-0,56.54,3479997251
2026-09-16T14:54:22.332997+00:00,k3d-shared-e2e-test-cluster-server-0,58.27,3489660928
2026-09-16T14:54:28.573628+00:00,k3d-shared-e2e-test-cluster-server-0,105.49,3491808411
2026-09-16T14:54:34.811913+00:00,k3d-shared-e2e-test-cluster-server-0,106.85,3460669898
2026-09-16T14:54:41.047900+00:00,k3d-shared-e2e-test-cluster-server-0,116.11,3455301189
2026-09-16T14:54:47.286843+00:00,k3d-shared-e2e-test-cluster-server-0,109.57,3464964866
2026-09-16T14:54:53.520015+00:00,k3d-shared-e2e-test-cluster-server-0,112.78,3451006222
2026-09-16T14:54:59.760095+00:00,k3d-shared-e2e-test-cluster-server-0,82.84,3446711255
2026-09-16T14:55:06.003445+00:00,k3d-shared-e2e-test-cluster-server-0,74.07,3442416287
2026-09-16T14:55:12.244279+00:00,k3d-shared-e2e-test-cluster-server-0,206.78,3419867709
2026-09-16T14:55:18.481368+00:00,k3d-shared-e2e-test-cluster-server-0,101.03,3409130291
2026-09-16T14:55:24.718800+00:00,k3d-shared-e2e-test-cluster-server-0,95.19,3409130291
2026-09-16T14:55:30.955803+00:00,k3d-shared-e2e-test-cluster-server-0,212.75,3409130291
2026-09-16T14:55:37.195345+00:00,k3d-shared-e2e-test-cluster-server-0,82.91,3375844294
2026-09-16T14:55:43.432389+00:00,k3d-shared-e2e-test-cluster-server-0,79.06,3359738167
2026-09-16T14:55:49.672393+00:00,k3d-shared-e2e-test-cluster-server-0,84.08,3367254360
2026-09-16T14:55:55.910938+00:00,k3d-shared-e2e-test-cluster-server-0,34.14,3280281272
2026-09-16T14:56:02.148137+00:00,k3d-shared-e2e-test-cluster-server-0,92.43,3098818904
2026-09-16T14:56:08.395158+00:00,k3d-shared-e2e-test-cluster-server-0,318.27,3112777547
2026-09-16T14:56:14.632874+00:00,k3d-shared-e2e-test-cluster-server-0,345.20,3170759606
2026-09-16T14:56:20.878966+00:00,k3d-shared-e2e-test-cluster-server-0,535.44,3199750635
